174 8
1 0.988 0.991 0.859 0.7 0.971 1 0.917 0.133
1 0.976 0.991 0.828 0.783 0.957 0.988 0.944 0.017
1 0.956 0.991 0.798 0.882 0.914 0.976 0.972 0.017
1 0.976 0.991 1 0.666 0.957 1 0.903 0.15
1 0.988 0.991 0.747 0.746 0.971 0.964 0.931 0.017
1 0.982 0.991 0.879 0.611 0.971 1 0.889 0.25
1 0.963 0.991 0.919 0.689 0.929 1 0.917 0.067
1 0.972 0.991 0.848 0.657 0.943 1 0.903 0.1
1 1 0.991 0.707 0.69 1 0.94 0.917 0.017
1 0.963 0.991 0.909 0.602 0.929 1 0.889 0.217
1 0.958 0.991 0.869 0.617 0.929 1 0.889 0.133
1 0.975 0.991 0.788 0.627 0.957 0.976 0.889 0.083
1 0.982 0.991 0.657 0.758 0.971 0.929 0.931 0.15
1 0.963 0.991 0.758 0.657 0.929 0.964 0.903 0.017
1 0.94 0.991 0.788 0.719 0.9 0.976 0.931 0.133
1 0.96 0.991 0.717 0.687 0.929 0.952 0.917 0.067
1 0.956 0.991 0.545 1 0.914 0.881 1 0.267
1 0.953 0.991 0.768 0.636 0.914 0.964 0.903 0.033
1 0.976 0.982 0.687 0.609 0.957 0.929 0.889 0.05
1 0.96 0.991 0.818 0.509 0.929 0.988 0.847 0.117
1 0.974 0.972 0.798 0.477 0.957 0.964 0.833 0.15
1 0.971 0.962 0.667 0.515 0.943 0.917 0.847 0.05
1 0.971 0.952 0.667 0.51 0.943 0.905 0.847 0.05
1 0.963 0.906 0.586 0.719 0.929 0.845 0.931 0.267
1 0.975 0.966 0.667 0.408 0.957 0.905 0.792 0.15
1 0.981 0.919 0.495 0.614 0.957 0.81 0.889 0.1
1 0.963 0.902 0.646 0.484 0.929 0.857 0.833 0.033
1 0.938 0.901 0.788 0.431 0.886 0.917 0.806 0.05
1 0.925 0.998 0.667 0.419 0.871 0.929 0.806 0.067
1 0.952 0.967 0.657 0.349 0.914 0.905 0.764 0.15
1 0.898 0.973 0.758 0.394 0.814 0.952 0.792 0.067
1 0.94 0.893 0.576 0.493 0.886 0.821 0.833 0.067
1 0.917 0.949 0.596 0.428 0.857 0.869 0.806 0.017
1 0.918 0.991 0.596 0.36 0.857 0.905 0.764 0.05
1 0.904 0.964 0.657 0.35 0.829 0.905 0.764 0.05
1 0.946 0.778 0.434 0.752 0.9 0.69 0.931 0.517
1 0.945 0.944 0.636 0.267 0.9 0.881 0.708 0.15
1 0.932 0.948 0.636 0.252 0.871 0.893 0.694 0.15
1 0.918 0.974 0.636 0.247 0.857 0.905 0.681 0.15
1 0.904 0.991 0.606 0.28 0.829 0.905 0.708 0.083
1 0.904 0.844 0.667 0.383 0.829 0.833 0.778 0.083
1 0.888 0.772 0.596 0.621 0.8 0.75 0.889 0.4
1 0.877 0.994 0.606 0.296 0.786 0.905 0.722 0.017
1 0.899 0.999 0.646 0.217 0.829 0.917 0.653 0.167
1 0.931 0.704 0.556 0.522 0.871 0.69 0.847 0.35
1 0.848 0.991 0.717 0.219 0.729 0.952 0.653 0.117
2 0.861 0.885 0.646 0.309 0.757 0.845 0.736 0.117
2 0.947 0.947 0.515 0.167 0.9 0.833 0.597 0.3
2 0.9 0.979 0.545 0.19 0.829 0.869 0.625 0.117
2 0.917 0.925 0.515 0.213 0.857 0.821 0.653 0.083
2 0.945 0.932 0.596 0.141 0.9 0.857 0.569 0.45
2 0.864 0.996 0.626 0.181 0.757 0.917 0.625 0.133
2 0.875 0.814 0.616 0.307 0.786 0.786 0.736 0.2
2 0.889 0.955 0.616 0.163 0.8 0.881 0.597 0.217
2 0.893 0.894 0.556 0.219 0.814 0.821 0.667 0.05
2 0.942 0.96 0.586 0.106 0.9 0.881 0.5 0.667
2 0.835 0.996 0.677 0.177 0.714 0.929 0.611 0.1
2 0.929 0.917 0.586 0.124 0.871 0.845 0.542 0.417
2 0.914 0.901 0.586 0.145 0.843 0.833 0.569 0.233
2 0.88 0.981 0.586 0.132 0.786 0.893 0.556 0.317
2 0.892 0.843 0.505 0.232 0.814 0.762 0.667 0.167
2 0.816 0.996 0.646 0.182 0.671 0.917 0.625 0.05
2 0.843 1 0.606 0.159 0.729 0.905 0.597 0.1
2 0.864 0.978 0.556 0.157 0.757 0.869 0.583 0.1
2 0.898 0.908 0.525 0.162 0.814 0.821 0.597 0.05
2 0.902 0.911 0.667 0.114 0.829 0.869 0.528 0.383
2 0.866 0.92 0.657 0.142 0.771 0.881 0.569 0.15
2 0.871 0.899 0.566 0.168 0.771 0.833 0.597 0.05
2 0.906 0.939 0.545 0.115 0.829 0.845 0.528 0.317
2 0.902 0.991 0.576 0.088 0.829 0.893 0.472 0.483
2 0.884 0.812 0.485 0.238 0.8 0.738 0.681 0.35
2 0.864 0.745 0.778 0.189 0.757 0.81 0.625 0.25
2 0.832 0.991 0.626 0.119 0.714 0.917 0.528 0.183
2 0.82 0.82 0.697 0.187 0.686 0.821 0.625 0.267
2 0.885 0.711 0.424 0.294 0.8 0.643 0.722 0.533
2 0.846 0.944 0.465 0.151 0.729 0.821 0.583 0.083
