177 6
1 0.943 1 0.802 0.725 0.026 0.95
1 0.966 0.947 1 0.476 0.141 1
1 0.933 0.991 0.951 0.313 0.385 0.986
1 0.907 0.982 0.704 0.58 0.064 0.898
1 0.925 0.912 0.84 0.407 0.256 0.925
1 0.907 0.798 0.648 1 0.064 0.818
1 0.925 0.877 0.765 0.501 0.051 0.889
1 0.943 0.904 0.722 0.476 0.077 0.892
1 0.951 0.912 0.698 0.455 0.103 0.889
1 0.922 0.965 0.698 0.435 0.115 0.895
1 1 0.904 0.667 0.427 0.141 0.895
1 0.912 0.912 0.772 0.363 0.205 0.899
1 0.974 0.798 0.691 0.491 0.013 0.858
1 0.959 0.807 0.728 0.423 0.115 0.871
1 0.948 0.939 0.698 0.342 0.179 0.896
1 0.92 0.798 0.79 0.417 0.103 0.869
1 0.972 0.807 0.858 0.281 0.256 0.913
1 0.925 0.825 0.716 0.429 0.038 0.857
1 0.883 0.798 0.778 0.448 0.013 0.849
1 0.951 0.807 0.747 0.365 0.077 0.869
1 0.982 0.772 0.586 0.556 0.141 0.817
1 0.909 0.816 0.753 0.339 0.103 0.859
1 0.953 0.746 0.741 0.364 0.051 0.848
1 0.915 0.781 0.556 0.63 0.231 0.783
1 0.927 0.754 0.66 0.456 0.115 0.815
1 0.912 0.728 0.716 0.432 0.077 0.817
1 0.935 0.667 0.623 0.603 0.244 0.776
1 0.837 0.974 0.673 0.278 0.128 0.854
1 0.886 0.684 0.765 0.318 0.038 0.807
1 0.938 0.807 0.444 0.469 0.192 0.756
1 0.79 0.912 0.654 0.266 0.154 0.808
1 0.858 0.702 0.444 0.715 0.359 0.695
1 0.917 0.763 0.623 0.258 0.141 0.803
1 0.754 0.947 0.71 0.21 0.167 0.822
1 0.917 0.763 0.586 0.27 0.077 0.788
1 0.759 0.921 0.679 0.214 0.128 0.804
1 0.85 0.553 0.599 0.615 0.385 0.688
1 0.813 0.535 0.519 0.98 0.462 0.642
1 0.813 0.719 0.617 0.328 0.103 0.744
1 0.894 0.596 0.691 0.271 0 0.753
1 0.813 0.772 0.673 0.218 0.051 0.78
1 0.858 0.711 0.562 0.266 0 0.74
2 0.772 0.868 0.451 0.31 0.115 0.714
2 0.712 0.851 0.722 0.181 0.09 0.777
2 0.886 0.746 0.63 0.166 0.141 0.788
