10076 7
1 737.15 740.75 684.47 675.82 847.58 750 42
1 718.88 726.29 654.54 661.73 832.97 830.37 27
1 718.18 704.32 667.59 665.71 835.11 770.14 217
1 715 701.68 675.23 666.71 816.37 765.42 48
1 710.55 708.44 660.81 663.71 809.21 767.66 47
1 707.07 688.22 668.01 653.73 818.33 763.15 89
1 706.12 707.6 656.1 655.86 804.92 712.94 34
4 704.29 698.24 663.77 652.8 802.33 764.38 146
1 702.31 685.2 656.75 657.47 809.83 758.33 239
1 702.17 694.12 651.64 636.09 826.83 766.54 52
1 694.59 677.41 654.23 664.09 782.63 763.9 41
1 693.48 692 632.18 630.73 819 784 10
1 690.56 665.44 642.21 653.6 800.99 728.7 223
1 689.18 678.14 649.8 647.92 780.87 747.77 175
1 687.25 656.4 631.89 658.81 801.9 740.41 97
1 686.55 675.07 631.29 654.61 785.23 743.3 115
1 686.42 663.37 634.69 655.99 791.65 726.72 360
1 686.1 679.03 626.69 636.95 801.75 749.09 11
1 685.89 666.35 641.54 650.5 785.19 720 39
1 685.25 676.54 624.23 641.48 798.76 665.06 83
1 682.58 657.92 630.15 652.2 790.06 701.94 186
1 680.41 663.57 627.02 645.54 785.5 735.81 93
1 680.25 664.83 624.42 647.27 784.48 706.64 211
1 680.1 662.05 639.15 640.82 778.36 748.86 185
1 678.96 662.56 631.08 650.21 771.99 702.75 51
1 678.64 668.05 612.48 637.63 796.39 636.84 38
1 678.5 673.99 622.88 639.68 777.47 732.52 238
1 678.21 652.57 643.1 648.76 768.4 781.9 84
4 676.95 649 640.56 655.4 762.86 740 41
1 676.66 651.38 630.66 651.61 773 578.38 111
1 675.08 667.18 631.09 642.77 759.3 680.95 42
1 675.08 677.2 618.42 631.05 773.66 692 20
1 674.96 652.49 626.02 646.95 774.38 699 40
1 674.58 645.44 638.64 642.48 771.76 757.08 192
1 673.49 642.6 626.15 655.38 769.83 728.09 47
1 673.33 662.16 615.03 632.15 783.96 685 36
1 673.22 644.01 642.94 642.29 763.65 808.24 17
1 673.2 649.99 632.43 640.19 770.2 672.62 103
1 672.71 647.91 631.03 646.45 765.45 708.03 122
4 672.49 648.78 609.34 636.14 795.7 593.04 342
1 671.81 646.28 635.9 645.39 759.67 703.53 34
